State,FIPS,County,pop,landAreakm2,waterAreakm2,totalAreakm2,lat,long,States_full
AZ,4019,Pima,980263,23794.312,5.338,23799.648999999998,+32.128237°,–111.783018°,Arizona
AZ,4021,Pinal,375770,13896.87,22.332,13919.201000000001,+32.918910°,–111.367257°,Arizona
AZ,4023,Santa Cruz,47420,3203.599,3.088,3206.687,+31.525904°,–110.845190°,Arizona
AZ,4025,Yavapai,211033,21039.765,11.502,21051.267000000003,+34.630044°,–112.573745°,Arizona
AZ,4027,Yuma,195751,14281.173999999999,13.254,14294.428,+32.773942°,–113.910905°,Arizona
AR,5001,Arkansas,19019,2560.903,116.496,2677.3979999999997,+34.289574°,–91.376547°,Arkansas
AR,5003,Ashley,21853,2396.6420000000003,39.311,2435.953,+33.190835°,–91.772267°,Arkansas
AR,5005,Baxter,41513,1435.588,83.997,1519.585,+36.280710°,–92.330438°,Arkansas
AR,5007,Benton,221339,2194.645,94.662,2289.3070000000002,+36.337825°,–94.256187°,Arkansas
AR,5009,Boone,36903,1528.692,30.044,1558.737,+36.304308°,–93.079204°,Arkansas
AR,5011,Bradley,11508,1681.5,9.547,1691.047,+33.463819°,–92.168164°,Arkansas
AR,5013,Calhoun,5368,1628.017,9.926,1637.943,+33.560460°,–92.513879°,Arkansas
AR,5015,Carroll,27446,1631.9170000000001,22.566,1654.484,+36.337774°,–93.541663°,Arkansas
AR,5017,Chicot,11800,1668.74,120.392,1789.132,+33.267139°,–91.297158°,Arkansas
AR,5019,Clark,22995,2243.1220000000003,43.396,2286.518,+34.053312°,–93.176205°,Arkansas
AR,5021,Clay,16083,1656.2060000000001,5.106,1661.3120000000001,+36.367302°,–90.418704°,Arkansas
AR,5023,Cleburne,25970,1434.056,99.015,1533.0710000000001,+35.566288°,–92.059974°,Arkansas
AR,5025,Cleveland,8689,1548.2520000000002,2.500,1550.7520000000002,+33.893201°,–92.188714°,Arkansas
AR,5027,Columbia,24552,1984.067,1.814,1985.88,+33.215070°,–93.226901°,Arkansas
AR,5029,Conway,21273,1430.32,37.343,1467.662,+35.265702°,–92.689248°,Arkansas
AR,5031,Craighead,96443,1831.656,14.162,1845.818,+35.828268°,–90.630411°,Arkansas
AR,5033,Crawford,61948,1536.1070000000002,28.874,1564.981,+35.583041°,–94.236224°,Arkansas
AR,5035,Crittenden,50902,1579.2720000000002,68.939,1648.211,+35.211878°,–90.315331°,Arkansas
AR,5037,Cross,17870,1596.418,15.349,1611.767,+35.291259°,–90.773894°,Arkansas
AR,5039,Dallas,8116,1728.523,1.864,1730.3870000000002,+33.967823°,–92.653999°,Arkansas
AR,5041,Desha,13008,1989.504,133.058,2122.563,+33.828748°,–91.244427°,Arkansas
AR,5043,Drew,18509,2145.431,18.921,2164.3520000000003,+33.587242°,–91.722778°,Arkansas
AR,5045,Faulkner,113237,1678.013,41.927,1719.94,+35.146356°,–92.324654°,Arkansas
AR,5047,Franklin,18125,1576.932,27.934,1604.866,+35.508573°,–93.887672°,Arkansas
AR,5049,Fulton,12245,1601.114,5.527,1606.642,+36.383443°,–91.819239°,Arkansas
AR,5051,Garland,96024,1755.445,147.214,1902.6589999999999,+34.578861°,–93.146915°,Arkansas
AR,5053,Grant,17853,1636.3770000000002,2.904,1639.281,+34.288063°,–92.423984°,Arkansas
AR,5055,Greene,42090,1496.233,4.827,1501.06,+36.119922°,–90.565241°,Arkansas
AR,5057,Hempstead,22609,1884.2679999999998,35.372,1919.64,+33.728611°,–93.665809°,Arkansas
AR,5059,Hot Spring,32923,1593.3670000000002,18.053,1611.42,+34.315177°,–92.944147°,Arkansas
AR,5061,Howard,13789,1524.3470000000002,17.509,1541.856,+34.083179°,–93.990988°,Arkansas
AR,5063,Independence,36647,1978.629,19.594,1998.223,+35.737499°,–91.559942°,Arkansas
AR,5065,Izard,13696,1503.6860000000001,8.913,1512.599,+36.094879°,–91.913625°,Arkansas
AR,5067,Jackson,17997,1641.8929999999998,19.588,1661.481,+35.596605°,–91.223178°,Arkansas
AR,5069,Jefferson,77435,2255.221,111.448,2366.6679999999997,+34.277696°,–91.930701°,Arkansas
AR,5071,Johnson,25540,1708.8829999999998,59.416,1768.299,+35.573359°,–93.466322°,Arkansas
AR,5073,Lafayette,7645,1368.2079999999999,43.539,1411.7479999999998,+33.240660°,–93.611643°,Arkansas
AR,5075,Lawrence,17415,1521.9129999999998,12.245,1534.158,+36.041098°,–91.101153°,Arkansas
AR,5077,Lee,10424,1560.781,43.722,1604.503,+34.779750°,–90.779288°,Arkansas
AR,5079,Lincoln,14134,1454.3210000000001,27.631,1481.9520000000002,+33.957665°,–91.727624°,Arkansas
AR,5081,Little River,13171,1378.53,84.208,1462.737,+33.699497°,–94.229774°,Arkansas
AR,5083,Logan,22353,1834.0339999999999,60.696,1894.731,+35.218550°,–93.720563°,Arkansas
AR,5085,Lonoke,68356,1996.1770000000001,83.170,2079.347,+34.755114°,–91.894132°,Arkansas
AR,5087,Madison,15717,2160.7110000000002,7.316,2168.028,+36.012545°,–93.724053°,Arkansas
AR,5089,Marion,16653,1546.245,112.175,1658.42,+36.266656°,–92.678588°,Arkansas
AR,5091,Miller,43462,1620.24,31.264,1651.504,+33.305505°,–93.901509°,Arkansas
AR,5093,Mississippi,46480,2332.476,49.826,2382.302,+35.766943°,–90.052209°,Arkansas
AR,5095,Monroe,8149,1572.4389999999999,36.715,1609.154,+34.679513°,–91.203314°,Arkansas
AR,5097,Montgomery,9487,2019.88,52.860,2072.74,+34.545652°,–93.664147°,Arkansas
AR,5099,Nevada,8997,1600.19,7.258,1607.4470000000001,+33.666699°,–93.305072°,Arkansas
AR,5101,Newton,8330,2126.11,5.932,2132.042,+35.910063°,–93.215084°,Arkansas
AR,5103,Ouachita,26120,1897.9,18.050,1915.95,+33.591158°,–92.878418°,Arkansas
AR,5105,Perry,10445,1428.126,23.649,1451.775,+34.946363°,–92.926877°,Arkansas
AR,5107,Phillips,21757,1801.7579999999998,82.056,1883.8139999999999,+34.425842°,–90.848386°,Arkansas
AR,5109,Pike,11291,1555.592,34.996,1590.588,+34.158191°,–93.658659°,Arkansas
AR,5111,Poinsett,24583,1964.2179999999998,13.523,1977.74,+35.568981°,–90.680595°,Arkansas
AR,5113,Polk,20662,2221.3779999999997,12.387,2233.765,+34.490915°,–94.230884°,Arkansas
AR,5115,Pope,61754,2104.491,47.207,2151.697,+35.455297°,–93.031535°,Arkansas
AR,5117,Prairie,8715,1678.204,71.629,1749.8329999999999,+34.828225°,–91.557200°,Arkansas
AR,5119,Pulaski,382748,1967.777,124.062,2091.839,+34.773988°,–92.316515°,Arkansas
AR,5121,Randolph,17969,1689.1660000000002,9.968,1699.134,+36.341299°,–91.028441°,Arkansas
AR,5123,St. Francis,28258,1644.049,20.050,1664.099,+35.014438°,–90.742199°,Arkansas
AR,5125,Saline,107118,1874.125,17.836,1891.96,+34.648525°,–92.674463°,Arkansas
AR,5127,Scott,11233,2311.098,14.901,2325.999,+34.858869°,–94.063641°,Arkansas
AR,5129,Searcy,8195,1725.1770000000001,6.257,1731.434,+35.909660°,–92.699351°,Arkansas
AR,5131,Sebastian,125744,1377.644,36.906,1414.549,+35.196981°,–94.274989°,Arkansas
AR,5133,Sevier,17058,1463.67,41.831,1505.501,+33.994608°,–94.243290°,Arkansas
AR,5135,Sharp,17264,1565.489,5.173,1570.662,+36.173399°,–91.471069°,Arkansas
AR,5137,Stone,12394,1570.5810000000001,7.839,1578.42,+35.856989°,–92.140494°,Arkansas
AR,5139,Union,41639,2691.553,41.402,2732.954,+33.168219°,–92.598145°,Arkansas
AR,5141,Van Buren,17295,1834.082,41.806,1875.888,+35.582959°,–92.515977°,Arkansas
AR,5143,Washington,203065,2439.6820000000002,27.047,2466.729,+35.971209°,–94.218417°,Arkansas
AR,5145,White,77076,2680.833,18.311,2699.1440000000002,+35.254722°,–91.753158°,Arkansas
AR,5147,Woodruff,7260,1519.781,18.708,1538.489,+35.189071°,–91.244418°,Arkansas
AR,5149,Yell,22185,2408.647,48.880,2457.528,+34.997713°,–93.408303°,Arkansas
CA,6001,Alameda,1510271,1914.046,213.185,2127.231,+37.648081°,–121.913304°,California
CA,6003,Alpine,1175,1912.2720000000002,12.557,1924.829,+38.617610°,–119.798999°,California
CA,6005,Amador,38091,1539.963,29.457,1569.42,+38.443550°,–120.653856°,California
CA,6007,Butte,220000,4238.423,105.326,4343.749,+39.665959°,–121.601919°,California
CA,6009,Calaveras,45578,2641.82,43.810,2685.63,+38.187844°,–120.555115°,California
CA,6011,Colusa,21419,2980.3790000000004,14.581,2994.96,+39.177739°,–122.237563°,California
CA,6013,Contra Costa,1049025,1854.269,227.485,2081.754,+37.919479°,–121.951543°,California
CA,6015,Del Norte,28610,2606.494,578.526,3185.02,+41.749903°,–123.980998°,California
CA,6017,El Dorado,181058,4423.397,203.243,4626.64,+38.785532°,–120.534398°,California
CA,6019,Fresno,930450,15431.126,137.816,15568.942,+36.761006°,–119.655019°,California
CA,6021,Glenn,28122,3403.107,33.750,3436.857,+39.602546°,–122.401700°,California
CA,6023,Humboldt,134623,9241.045,"1,254.256",10495.301000000001,+40.706673°,–123.925818°,California
CA,6025,Imperial,174528,10817.353000000001,790.248,11607.6,+33.040816°,–115.355395°,California
CA,6027,Inyo,18546,26368.354,119.208,26487.562,+36.561977°,–117.403927°,California
CA,6029,Kern,839631,21061.565,79.577,21141.142000000003,+35.346629°,–118.729506°,California
CA,6031,Kings,152982,3598.5820000000003,5.469,3604.051,+36.072478°,–119.815530°,California
CA,6033,Lake,64665,3254.228,188.962,3443.19,+39.094802°,–122.746757°,California
CA,6035,Lassen,34895,11761.612,463.441,12225.053,+40.721089°,–120.629931°,California
CA,6037,Los Angeles,9818605,10509.87,"1,795.013",12304.883,+34.196398°,–118.261862°,California
CA,6039,Madera,150865,5534.983,41.958,5576.94,+37.210039°,–119.749852°,California
CA,6041,Marin,252409,1347.586,797.420,2145.006,+38.051817°,–122.745974°,California
CA,6043,Mariposa,18251,3752.417,36.271,3788.688,+37.570034°,–119.912860°,California
CA,6045,Mendocino,87841,9081.386,962.953,10044.339,+39.432388°,–123.442881°,California
CA,6047,Merced,255793,5011.555,112.760,5124.315,+37.194806°,–120.722802°,California
CA,6049,Modoc,9686,10146.976999999999,739.774,10886.752,+41.592919°,–120.718370°,California
CA,6051,Mono,14202,7896.826999999999,214.695,8111.523,+37.915836°,–118.875167°,California
CA,6053,Monterey,415057,8496.703000000001,"1,270.714",9767.417,+36.240107°,–121.315573°,California
CA,6055,Napa,136484,1938.247,104.169,2042.4170000000001,+38.507351°,–122.325995°,California
CA,6057,Nevada,98764,2480.617,41.515,2522.132,+39.295191°,–120.773446°,California
CA,6059,Orange,3010232,2047.5610000000001,407.917,2455.478,+33.675687°,–117.777207°,California
CA,6061,Placer,348432,3644.136,247.205,3891.341,+39.062032°,–120.722718°,California
CA,6063,Plumas,20007,6612.351,156.395,6768.746,+39.995170°,–120.829516°,California
CA,6065,Riverside,2189641,18664.697,251.073,18915.77,+33.729828°,–116.002239°,California
CA,6067,Sacramento,1418788,2498.416,76.077,2574.493,+38.450011°,–121.340441°,California
CA,6069,San Benito,55269,3596.742,4.555,3601.297,+36.610702°,–121.085296°,California
CA,6071,San Bernardino,2035210,51947.23,124.028,52071.258,+34.857220°,–116.181197°,California
CA,6073,San Diego,3095313,10895.121000000001,826.348,11721.469,+33.023604°,–116.776117°,California
CA,6075,San Francisco,805235,121.4,479.190,600.59,+37.727239°,–123.032229°,California
CA,6077,San Joaquin,685306,3603.506,91.109,3694.615,+37.935034°,–121.272237°,California
CA,6079,San Luis Obispo,269637,8543.248,820.975,9364.223,+35.385227°,–120.447540°,California
CA,6081,San Mateo,718451,1161.372,757.704,1919.076,+37.414664°,–122.371542°,California
CA,6083,Santa Barbara,423895,7083.838000000001,"2,729.829",9813.667,+34.537378°,–120.038485°,California
CA,6085,Santa Clara,1781642,3341.343,36.175,3377.518,+37.220777°,–121.690622°,California
CA,6087,Santa Cruz,262382,1152.986,419.569,1572.555,+37.012488°,–122.007205°,California
CA,6089,Shasta,177223,9778.247,186.531,9964.778,+40.760522°,–122.043550°,California
CA,6091,Sierra,3240,2468.814,23.299,2492.113,+39.576925°,–120.521993°,California
CA,6093,Siskiyou,44900,16259.652,179.889,16439.542,+41.587986°,–122.533287°,California
CA,6095,Solano,413344,2128.361,218.666,2347.027,+38.267226°,–121.939594°,California
CA,6097,Sonoma,483878,4081.43,497.530,4578.96,+38.532574°,–122.945194°,California
CA,6099,Stanislaus,514453,3871.583,51.437,3923.02,+37.562384°,–121.002656°,California
CA,6101,Sutter,94737,1560.236,15.747,1575.983,+39.035257°,–121.702758°,California
CA,6103,Tehama,63463,7639.71,32.276,7671.986,+40.126156°,–122.232276°,California
CA,6105,Trinity,13786,8234.23,73.408,8307.638,+40.647724°,–123.114404°,California
CA,6107,Tulare,442179,12494.658000000001,37.392,12532.05,+36.230453°,–118.780542°,California
CA,6109,Tuolumne,55365,5752.063,138.684,5890.746,+38.021451°,–119.964708°,California
CA,6111,Ventura,823318,4773.692,945.992,5719.684,+34.358742°,–119.133143°,California
CA,6113,Yolo,200849,2628.032,22.969,2651.002,+38.679268°,–121.903178°,California
CA,6115,Yuba,72155,1636.454,30.999,1667.453,+39.270026°,–121.344280°,California
CO,8001,Adams,441603,3024.208,42.070,3066.278,+39.874325°,–104.331872°,Colorado
CO,8003,Alamosa,15445,1871.6370000000002,1.808,1873.445,+37.568442°,–105.788041°,Colorado
CO,8005,Arapahoe,572003,2067.07,19.004,2086.074,+39.644632°,–104.331733°,Colorado
CO,8007,Archuleta,12084,3496.938,13.828,3510.765,+37.202395°,–107.050863°,Colorado
CO,8009,Baca,3788,6617.334,6.142,6623.476,+37.303144°,–102.535457°,Colorado
CO,8011,Bent,6499,3918.292,73.094,3991.386,+37.931891°,–103.077584°,Colorado
CO,8013,Boulder,294567,1881.08,36.469,1917.549,+40.094826°,–105.398382°,Colorado
CO,8014,Broomfield,55889,85.55799999999999,1.466,87.024,+39.953383°,–105.052125°,Colorado
CO,8015,Chaffee,17809,2624.702,4.013,2628.716,+38.738246°,–106.316972°,Colorado
CO,8017,Cheyenne,1836,4605.713,8.166,4613.879,+38.835387°,–102.604585°,Colorado
CO,8019,Clear Creek,9088,1023.633,3.280,1026.913,+39.689403°,–105.670791°,Colorado
CO,8021,Conejos,8256,3334.3259999999996,9.235,3343.5609999999997,+37.213407°,–106.176447°,Colorado
CO,8023,Costilla,3524,3177.79,8.829,3186.619,+37.277547°,–105.428940°,Colorado
CO,8025,Crowley,5823,2039.411,33.430,2072.842,+38.321956°,–103.787562°,Colorado
CO,8027,Custer,4255,1913.031,3.365,1916.396,+38.101994°,–105.373515°,Colorado
CO,8029,Delta,30952,2957.897,16.961,2974.8579999999997,+38.861756°,–107.864757°,Colorado
CO,8031,Denver,600158,396.269,4.225,400.494,+39.761849°,–104.880625°,Colorado
CO,8033,Dolores,2064,2763.65,2.716,2766.366,+37.747602°,–108.530383°,Colorado
CO,8035,Douglas,285465,2176.232,6.789,2183.022,+39.326435°,–104.926199°,Colorado
CO,8037,Eagle,52197,4362.912,18.806,4381.718,+39.630638°,–106.692944°,Colorado
CO,8039,Elbert,23086,4793.670999999999,0.442,4794.113,+39.310817°,–104.117928°,Colorado
CO,8041,El Paso,622263,5508.39,7.112,5515.501,+38.827383°,–104.527472°,Colorado
CO,8043,Fremont,46824,3970.627,2.235,3972.863,+38.455658°,–105.421438°,Colorado
CO,8045,Garfield,56389,7634.154,21.431,7655.584,+39.599352°,–107.909780°,Colorado
CO,8047,Gilpin,5441,388.22900000000004,0.942,389.171,+39.861082°,–105.528947°,Colorado
CO,8049,Grand,14843,4781.972,60.250,4842.222,+40.123289°,–106.095876°,Colorado
CO,8051,Gunnison,15324,8389.229,53.172,8442.401,+38.669679°,–107.078108°,Colorado
CO,8053,Hinsdale,843,2893.6679999999997,15.325,2908.992,+37.811625°,–107.383405°,Colorado
CO,8055,Huerfano,6711,4120.673,5.792,4126.465,+37.687815°,–104.959928°,Colorado
CO,8057,Jackson,1394,4179.523,18.750,4198.273,+40.663432°,–106.329248°,Colorado
CO,8059,Jefferson,534543,1979.29,25.446,2004.736,+39.586460°,–105.245601°,Colorado
CO,8061,Kiowa,1398,4578.496,47.033,4625.529,+38.388466°,–102.756210°,Colorado
CO,8063,Kit Carson,8270,5596.5019999999995,2.252,5598.754,+39.305340°,–102.603023°,Colorado
CO,8065,Lake,7310,976.194,18.124,994.319,+39.204316°,–106.349696°,Colorado
CO,8067,La Plata,51334,4382.463,19.760,4402.223,+37.287367°,–107.839718°,Colorado
CO,8069,Larimer,299630,6723.613,98.295,6821.909000000001,+40.663091°,–105.482131°,Colorado
CO,8071,Las Animas,15507,12361.162,6.930,12368.091999999999,+37.318831°,–104.044110°,Colorado
CO,8073,Lincoln,5467,6676.021,22.781,6698.802,+38.993740°,–103.507555°,Colorado
CO,8075,Logan,22709,4761.813,16.364,4778.177,+40.728091°,–103.090464°,Colorado
